Designator,Mid X,Mid Y,Rotation,Layer
C1,130.67,-100.08,180.0,top
C10,90.339411,-51.910589,315.0,bottom
C100,83.5,-56.800001,270.0,bottom
C101,54.8996,-132.1054,180.0,top
C102,65.0748,-131.7498,180.0,top
C103,71.8566,-132.08,180.0,top
C104,48.13,-130.8608,180.0,top
C11,89.25,-50.75,315.0,bottom
C12,113.75,-63.78,270.0,bottom
C13,112.5,-63.76,270.0,bottom
C14,115.0,-63.78,270.0,bottom
C15,116.75,-63.785,270.0,bottom
C16,97.02,-49.25,180.0,top
C17,54.37,-54.028554,270.0,top
C18,52.97,-53.733554,270.0,top
C19,55.77,-53.733554,270.0,top
C2,110.02,-127.0,180.0,top
C20,57.45,-56.38,0.0,top
C21,49.821992,-50.101562,225.0,top
C22,62.645,-40.13,0.0,top
C23,62.62,-38.38,0.0,top
C24,67.12,-54.828554,90.0,top
C25,69.77,-44.753554,0.0,top
C26,55.5,-88.225,270.0,top
C27,58.72,-82.2,0.0,top
C28,63.175,-89.2,180.0,top
C29,63.175,-90.8,180.0,top
C3,144.725,-68.5,180.0,top
C30,107.25,-35.205,270.0,top
C31,100.58,-43.7,180.0,top
C32,102.12,-33.325,180.0,top
C33,110.45,-34.725,90.0,top
C34,93.75,-36.25,270.0,top
C35,96.0,-36.25,270.0,top
C36,98.0,-36.32,270.0,top
C37,100.595,-46.875,180.0,top
C38,100.575,-41.7,180.0,top
C39,63.0,-69.5,180.0,top
C4,89.749999,-56.800001,270.0,bottom
C40,149.5,-73.73,90.0,top
C41,156.25,-74.0,0.0,top
C42,83.2682,-109.9212,180.0,bottom
C43,117.25,-69.775001,270.0,bottom
C44,76.136,-111.242,180.0,top
C45,78.168,-111.242,180.0,top
C46,81.696,-119.624,90.0,bottom
C47,79.283,-119.497,90.0,bottom
C48,80.172,-116.957,0.0,bottom
C49,75.727,-114.163,270.0,bottom
C5,88.5,-56.800001,270.0,bottom
C50,78.013,-119.497,90.0,bottom
C51,79.283,-114.163,270.0,bottom
C52,76.997,-119.497,90.0,bottom
C53,75.727,-119.497,90.0,bottom
C54,76.997,-114.163,270.0,bottom
C55,74.965,-116.83,180.0,bottom
C56,78.013,-114.163,270.0,bottom
C57,86.923,-100.094,90.0,top
C58,51.75,-77.5,270.0,top
C59,91.24,-76.3,90.0,top
C6,87.250001,-56.800001,270.0,bottom
C60,140.091472,-104.481947,45.0,top
C61,140.869289,-105.259765,45.0,top
C62,137.850589,-105.610589,135.0,top
C63,136.400374,-106.405278,45.0,top
C64,137.284258,-107.289161,45.0,top
C65,136.19,-113.53,270.0,top
C66,137.2984,-113.53,270.0,top
C67,156.949999,-116.6,90.0,top
C68,151.0,-116.6,90.0,top
C69,115.749997,-69.77,270.0,bottom
C7,84.750001,-56.800001,270.0,bottom
C70,114.499999,-69.77,270.0,bottom
C71,113.25,-69.77,270.0,bottom
C72,112.0,-69.77,270.0,bottom
C73,110.75,-69.77,270.0,bottom
C74,109.500002,-69.77,270.0,bottom
C75,83.75,-61.725,270.0,bottom
C76,85.5,-61.725,270.0,bottom
C77,86.75,-61.73,270.0,bottom
C78,88.0,-61.725,270.0,bottom
C79,89.25,-61.725,270.0,bottom
C8,81.75,-56.800001,270.0,bottom
C80,90.5,-61.73,270.0,bottom
C81,91.75,-61.725,270.0,bottom
C82,84.403806,-72.119213,270.0,bottom
C83,85.818019,-72.06066,270.0,bottom
C84,86.878679,-72.060659,270.0,bottom
C85,87.939341,-72.060659,270.0,bottom
C86,89.0,-72.06066,270.0,bottom
C87,90.06066,-72.06066,270.0,bottom
C88,91.12132,-72.06066,270.0,bottom
C89,100.575,-40.675,180.0,top
C9,91.089411,-52.660589,315.0,bottom
C90,100.575,-42.7,0.0,top
C91,100.575,-44.75,0.0,top
C92,100.575,-45.8,0.0,top
C93,113.65,-35.329999,270.0,top
C94,115.9,-35.329999,270.0,top
C95,116.65,-43.38,90.0,top
C96,111.25,-63.74,270.0,bottom
C97,87.671751,-49.078249,315.0,bottom
C98,91.0,-56.800001,270.0,bottom
C99,86.0,-56.800001,270.0,bottom
D3,96.462499,-74.5,0.0,top
D4,101.537501,-74.5,180.0,top
FB1,54.4322,-133.6294,180.0,top
FB2,71.3486,-133.604,180.0,top
IC2,141.689533,-111.100467,0.0,top
J1,138.75,-87.75,180.0,top
J10,160.75,-99.75,90.0,top
J11,41.5,-86.38,270.0,top
J12,41.5,-74.8845,270.0,top
J13,41.5,-63.38,270.0,top
J14,138.88,-35.0,180.0,top
